iter	Passed	Remaining
0	182	182409
1	216	107787
2	254	84543
3	274	68353
4	288	57412
5	300	49856
6	312	44339
7	325	40300
8	335	36955
9	348	34542
10	358	32267
11	369	30437
12	381	28966
13	392	27661
14	404	26550
15	416	25627
16	428	24803
17	440	24011
18	451	23300
19	463	22711
20	475	22171
21	493	21941
22	505	21469
23	517	21029
24	527	20584
25	538	20186
26	550	19833
27	561	19493
28	574	19229
29	585	18926
30	596	18650
31	608	18401
32	619	18155
33	630	17926
34	644	17770
35	655	17544
36	666	17338
37	678	17171
38	689	16999
39	701	16836
40	712	16659
41	726	16560
42	738	16431
43	751	16331
44	764	16223
45	776	16113
46	790	16020
47	801	15895
48	812	15774
49	824	15664
50	836	15573
51	850	15497
52	861	15391
53	872	15280
54	882	15170
55	896	15108
56	910	15054
57	927	15060
58	940	15005
59	951	14914
60	964	14850
61	977	14788
62	992	14768
63	1006	14722
64	1019	14661
65	1031	14594
66	1043	14535
67	1057	14493
68	1070	14445
69	1084	14405
70	1097	14359
71	1110	14319
72	1124	14275
73	1135	14213
74	1147	14157
75	1161	14125
76	1175	14092
77	1187	14042
78	1199	13978
79	1212	13941
80	1225	13900
81	1241	13893
82	1254	13856
83	1265	13805
84	1277	13754
85	1300	13820
86	1313	13781
87	1328	13767
88	1341	13730
89	1355	13705
90	1369	13678
91	1383	13652
92	1396	13615
93	1409	13588
94	1423	13564
95	1438	13546
96	1452	13521
97	1466	13493
98	1478	13457
99	1492	13430
100	1505	13403
101	1521	13392
102	1533	13358
103	1544	13309
104	1558	13280
105	1572	13264
106	1584	13227
107	1598	13202
108	1610	13162
109	1622	13125
110	1634	13091
111	1646	13054
112	1658	13018
113	1670	12979
114	1684	12966
115	1700	12956
116	1715	12943
117	1727	12911
118	1742	12901
119	1759	12901
120	1780	12931
121	1799	12952
122	1817	12958
123	1831	12938
124	1850	12954
125	1867	12955
126	1886	12965
127	1905	12979
128	1919	12963
129	1933	12937
130	1945	12906
131	1957	12872
132	1970	12842
133	1983	12817
